business_id,name
SbS0cnxFStrlidtwek6b6w,100℃
vtkJXE_Vdz27rWm6mfAw6Q,Cathay House Restaurant
o5TNm5Iaah14KtOqjkGcxg,Goldfinger's Bar & Grille
7Ppgpgva-HP3o3h-xp2sWw,McDonald's
EyoTq9dd4oKXhXND_imOzA,Sweet Poké
tv4nFQ-1a8Lm9B-tIpBjyg,Shin Yakitori House
MWyv0delstZwPcBkGzmwbA,Legends Sports Bar & Grill
Q6kZqLHy-ikjMW-lBCXnKA,Tequileria Grille
WVvqV0cmNR3j7ChPoI74hQ,Soul Food Cafe
vl5_S8mfd3qHgC7gYEOVJA,Kosher Gourmet
_V0yJdpXrbdKzBDoVSJGWA,Silver Sevens Hotel and Casino
7vWb1Afpm2arr8NCaE_EyQ,Ogden Mart
uUEKndnFbHD8mVkGiirtpA,Tommy Bahama Restaurant | Bar | Store - Las Vegas
m8u3fsbhfdXu7IhXeHBO5A,Villa Fresh Italian Kitchen
gwwVVeWXlEfwATjp2cGzuA,Philly Steak Express
DLJCwHGtbAV31UQ1lnIjlw,Siena Italian Authentic Trattoria and Deli
0_7nMBuDAhs_J_DMuqdsyw,Hot Dog Heaven
uiHyP1uOAzOPkOmnWhnW0A,Roberto's Taco Shop
jX23x5u_sYz8q2u0SMDwPA,Kang Thai
McZz8few5LqWF37KZTK_QA,Giorgio Ristorante E Caffe
Ej_TupknUGM1f3V5lDc9IA,Waffle Love - Vegas Truck
NnV0LkIs5YjUSPzAP1nWXQ,Baan Thai Restaurant
IO3iTBH0rX-G7E7wAreRSQ,Angelina's Pizzeria - Eastern
V-0qRzBHKixmQgon_fW_AA,Makai Pacific Island Grill
ZBkLGYOvUlmmQvkvp7AHHA,Bazic Bar & Restoyaky
qRhxldX3lnOMJUNlytYvfQ,Applebee's Grill + Bar
jBNK_385whkmX9M52vihMw,Burger King
eRKVkDsHSFjaej3j7H0HyA,Taqueria La Herradura
axJFWAeEJ-kRs8LFy8ow1A,Cafe Hookah
BjS35X3-_-9TP-RyfzoC_Q,Hometown Eats
g7fXSjIsE31hLIW5z60zfg,Coast 2 Coast Food Truck
BQJokxJ4y4s57i7Mn65pvA,Hecho en Vegas
qL1YorxvE_D-xoPF9f6f8w,Aracely's Sazón Colombian Restaurant
12P7GjIoq6oj7qCyJ_c0Ag,Little Caesars Pizza
VjvZik_uBJ-UyHdT2PdPPg,El Katracho Restaurant
JCiglfoF09JqfR_gn6XYcA,Vit's Pizza
sYfHxCqHpIX2HnDhw0JRAA,Ohjah Japanese Steakhouse Sushi & Hibachi
3Gw8YcAjo3AcMbtbX1TGSA,Jack In the Box
mvLdgkwBzqllHWHwS-ZZgQ,Elia Authentic Greek Taverna
ZMcvBaSEtMrieTYpPBIzVQ,Don Tortaco Mexican Grill
a3jFGgoWbPkPGENEafiXwg,Binion's Cafe
L-q2fn9CDKmWX5c2hXUD5w,Baan Mae Toy
O9LDS66IUKIBkGz_uFZKWQ,Chili's
4Bw9XffSa0AMy2SrNCS2KA,Sababa Mediterranean Grill
33Tr0eRki1Yamzleu4GMdw,Rosallie
TEwdAxcVKUzcG9pWl05BKw,Simon Kitchen and Bar
2sx52lDoiEtef7xgPCaoBw,VegeNation
vX-FwyJ7eINXn_Gn6CqMFg,Little Hong Kong
Lzv68iVkRHstVvW3aXNWkA,Table Thai Bar & Bistro
glVCZzuFSnf24UGYsOl2Vw,PT's
O6eGmbnnbh0Jq80AAIfzjA,Bay City Diner
5o7Fx7Iot-gLKVNegLLw-w,El Santaneco
SWZ_GqiaAoc4JoUOosF0mg,The Sugar Corner
FaoMHRFjrZvD9_RvYZX4oQ,Popeyes Louisiana Kitchen
QIn3PuGUkinSibUn-NsljQ,Roberto's Taco Shop
KPLFg6jWMXmRv5Dh1TKG6A,Anthony's Coal Fired Pizza
U8rsbHtpV60h8USOL-kaLg,Louis's Las Vegas
0ahghcpWQVkm4lEFwx-peA,Habib's Persian Cuisine
4UvQ0BUbqlNPJbAggsi0eA,Delightful Chefs
pidpBdWsOFfe7pWypBIoiQ,Miga Korean Bistro
PLVJCN2p1MIkeDzIbAx9kA,Denny's
jLxeBgWhLRbII2ACkgH1Sg,La Belle Terre French Bakery And Café
4EfiNcKSsafogIhAjwv0gg,Rustica Pizzeria
fIC9tXNgCfKCncoIujZC6w,Bonzai Bob's
PAcD5cYk9yFtgUYvejaVfQ,Del Taco
h84tU6REsM1VzyUCP0Ss7Q,Baja Fresh
D1BrHyiZON7u_ef-qt4_Uw,Yagyu Yakiniku
w55sCX7ZkLIJNhl_RhwjEg,Paradise Cantina
hCsJv234v62MgdsUU1j8dQ,Big Sur Oyster Bar
Oh62VtPS3Jj9e6CNRxJh5w,Banana Leaf Café
NaZVUOzqk5b-l0mlki-9Og,Chun Fai Chinese Eatery
hmRR9whRtnbV5LyIC3Bxrg,Da Pizzeria
qorLOp7fZ6X7GSQG_0wPdg,McDonald's
KyzPvdGPb2ubVlXJrS2QPA,Pizzalicious
wqaLf9ShvoJxr7NScUrUFg,Baba's Tsi-bugan Restaurant
ltGrILPoBdhDPW7puGmI1Q,Brendan's
uDeycmwCy26ALJHeG3SsEA,Buffalo Wild Wings
upB0RQl-l529IVwgOpwOQQ,The Great Greek
SnZhLM5l_xonNL6FUNlUhA,Grand China
8SwMaPL6AJIs1ZPSZ3NJ4w,Forte European Tapas Bar and Bistro
sNiLWoLWRS56vWpgM6mQfg,Mia Kosher Bakery
aHpsw58YOeHnoQt8Vn5O2w,Espresso King Kafe 2
2dUXkonsAdoXKAalTnmlig,Dimas Tacos
irzQzlXJPhny2QtMa-94-Q,Straight From Philly Steakout
WyZAeMGsjUE7OToI4Jdqfw,Chipotle Mexican Grill
iXA3bCGD4HNhx81UC8CEhw,Greens To Go
tv-WIUQifcp5J9pUKoiE3Q,Dragon Grille
YuhAHVsstmDENWuZM30tMA,I Am Thai Cuisine
ALaBtHzn3ekGDJQoCoQgOg,Onion Steak Sub
hRQS8y-uG2kc8miWVYiLuQ,Golden Steer Steakhouse
AS5SU_cEwM-IqmkF7USdQg,JaiHo Restaurant
POIowl4F1ZiHdKLnx__ulw,Chipotle Mexican Grill
TSNvD7vyrknurZ8H05iyVQ,Port of Subs
JSUmoa3hFNfoDYLbYNNLOQ,El Nopal Mexican Grill
JS24kvJ0I5fWWEuplEiZjg,Morettis Eatery
Us0VHOegBKE6L4k-xEVxxg,Buldogis Unleashed Food Truck
6bDpJirSVqt-NXz04vJ8ug,Burger Palace
hzZjYhV25DuehpK1-pak1g,Pampas
VSmpIQJQTwJloxiIRG9UWg,Thai Bistro
XpB1GKENtgaaO4KoV-uswQ,Port of Subs
x-HiCsQUNdtbghzW4_ra2Q,Taco Bell
bpRo8L8dkhgbJhdIKa9mwA,STK Las Vegas
_8yxceldCT7oe0wJC-yDPA,Benjarong Authentic Thai Cuisine
54LYVM1gCGQ2UVFK9QhgTw,The Flame Broiler
Q2pyp7Nb3cD4Br2BOnxUDA,Greek Delights
BoiAZQB9AHRvazM055GFOw,Paradise India
1UdRVfBlE3unETOu7BDCvw,Nagoya Japanese Restaurant & Korean BBQ
9dz6ZYUDCqtD67LSPTLApQ,McDonald's
DCKAhcwBwJQrrjmEunh9lg,Del Taco
rOdbLPm_u_7jWM_GDxquEg,Chinese Gourmet Express
LsfKW67Qe_0bU4krXEkOAA,McDonald's
eWcyXTiaexrkvCc3vlFWKA,Carl's Jr
wtcMoqKiaxkFPZj0BC9jlw,Yum Yum BBQ
aMZzd9RrRyhpuUJycefotA,Norm's Diner
bjllusUsLq9zE4yZnLpOzg,Shawarma Plus
yJdFEd5AlF1mXKXApDkGXg,Angie's Corner Cafe
jaqQNaCH-xtdr6uH0MFnWw,Kapuna Cafe
jNhxnj9j_spThcSzJMaeTw,Kan's Kitchen
prHnRsgY-PuM7vxe8-RwEA,Ho Ho Ho Chinese
uW6UHfONAmm8QttPkbMewQ,Island Flavor
bKbYRUZKDYonSPOjzchJJg,Veggie Delight
mAIPUQPJiWXudRbOaBX33g,Popeyes Louisiana Kitchen
UGiMMw54qYxac0eE_cBbaA,Sammy's Beach Bar & Grill
dJp6YuFJRCVHtM7SuY_mMA,Love Thai Cuisine
eQF5Pjd52vmKsMfRvI1Cyg,Rain Rose Restaurant
6bgjcFOy4WHMyw62_1V9Pw,Panera Bread
PBZyumZ_0vSijc2zODdqgQ,Bowl Tique Avenue
iX2c4IzH_L5F6FM5GD3SUQ,Tasty Crepes
RodA_gxhr2Mj-pyQAL2RAQ,Salute Trattoria Italiana
5id6Wu6n07N2lIklMAorEw,McDonalds
7xEgy2btCKLdTe1vD14ABw,Johnny Rockets
7Xw_vv-ekUL2sTqipnKT0g,Buffalo Wild Wings
eqRYda9F_4ziinRW-N6ixw,Roberto's Taco Shop
nK7JeIqdBli3umEhBIh33g,Lucio Ristorante
uXzYH9ywBhZ0WwfStrCWNQ,Jersey Mike's Subs
huOCKRwDvNqGX3KSzYawbw,Cafe Gelato
8yiLVWzJyyTEhYE0fVNvlA,Il Mulino New York
CVKOPzBVOj3_apFUmZ9ZWw,Gordon Ramsay Fish & Chips
f9sU31meK0bqAD7922sCog,Sage
dtJYPbWv0cli924MqKRNUw,Divine Events
-iBk1_3M_efQtY6Bcygp5w,Viva Salsa
5VeKrLlQdJjMmKGwBBvMmw,Yanni's Gyros
kzwiQ54fopeTgGEIkgJ2dQ,Pt's Gold
irDgKDkvrma1jFN_mRgQ_g,True Island BBQ
lsGIcUOadXjaRtKFNtrq8Q,El Pollo Loco
IIHpQVCSUmgywdX2cFScHA,Sushi Moto
vjFZt8Rt3A3kY7yWh3qmgg,The Oyster Bar
4l1cmNrXBOLVUJR29MDp3A,Subway
YPCbxsAPYOo3kRMbhfxFzw,Subway
83C5ysOCnmNGB_fDsVdr9Q,Brothers Italian Bistro
gV9qWwd4eU8GffyuvQ4hwg,Young's Hawaiian Style Kitchen
jXL1Mfygf36id0hJytcsqg,Pizza Hut
0Yeb_P24sj6MwG2qmuehkA,Till's Bar
EhdkogSUSDLx5JufCAtm8A,Yellowfin Sushi & Grill
qParPpAesanzrvjhFV0PdQ,Long John Silver's
hIUKufhwR6Ifn7bi0-phLA,Baguette Cafe
BNubIia7rJAqSRxioUZGxg,Lao Thai Kitchen
A9cpN5TtYvJcB25pjLxkpQ,Subway
bFvtf5LD-yaH7Z3RQcH7FA,Domino's Pizza
_cBlppMDZYXS-Bjj4l9qtw,El Buen Gusto
S3gVMHlrQoJPzM984vCeBg,Aware Coffee & Tea Lounge
2SfSzEd3B7WimeZac23zhg,Leoné Café
YMc2n7R4_6N0PIHIfUJqPg,Domino's Pizza
yYkvonvBGZB6UMnpzr6Ryw,Burger King
wXnVKTuKZaAZFwKanUXqBQ,I Luv Cotton Candy
FIhNVl-AFxrjb1-puoFF_Q,Macayo Vegas
zttcrQP4MxNS5X5itzStXg,Da Pineapple Express
H8umkLwMkM0vP5B8oPiozQ,Sundance Grill
ANSdwcG2_tH5iHdOpokVpQ,El Taquito Restaurant
igU-mCXzyn-gmwSzJgeMEQ,The Pizza Kitchen
w0ArxcJ0XsyK1ZwrIf3gpA,Four Sevens Sports Bar & Restaurant
OOWSVT7NL2BlGuQyzHlvCw,Arisra Thai Seafood & Steaks
y0x795PyDX8JL_oyIaTUiQ,Blueberry Hill Family Restaurant
aolTlQzu7fMOGtiiEYiX2w,Thai Express @ Sahara
9cw870n3gsGikVoOT5YOYg,Pier 215
mS8ZyLZjYhB42ts9_8j3vg,O'aces Bar & Grill
gdb4gmSI5eJcuXLZ3BfgtA,Jacky Chan
3cg4pKBL8DTFXCtZ5y9V4g,Johnny Smalls
VIxWlFefTnFQPkAvDNURjg,Pizza Hut
939j88ceB05Te3D7kQPwSA,VooDoo Rooftop Nightclub & Lounge
xvfAxe6F0azYjfLSm8ISMA,Don Vito's Italian
Yn-8zix5_blucvZo3G8kPw,New Day Cafe
kXxSkjIByGp4X6-FIO8_Qw,The Diner at LVM Resort
HsEStDB_LB6x0LuXQ6LP4A,Khoury's Mediterranean Restaurant
jXyy2Vc-Dgp7QguQJSfnXw,Lazeez
ot1sUqbDrXEd8BELJZw6IA,JC Cuisine
hU7z5Jtl57RIODS0hPg9Ug,Apache Taco Shop
Z3y47L3EY-axAEVbwmXZaA,Thrifty Ice Cream
Dcu698L9WArPRc9mAYrAzA,Sushi Hagi
OHWebQuqI-AbB00zpLnWDg,Southern Style
Cy8XYYDrZ5wd3Bq-toXMsg,Hachi
Ey1iEY8yAQG5MEBZPQ_niQ,Fremont Hotel & Casino
rwfZVEomWWGb-1wrvCpRuQ,Denny's
VYNriOotbFZ7Qj_6jwUB5g,Sergio's Italian Gardens
6Wvn57wjSrVX7gJM37CIZw,Wichcraft
oaap_zKAxkrlTBwF3onmXw,La Salsa
ZibmYdOPKLlqDM9oR6xzOA,Bachi Burger
ac3laXcJnclYZAO65XAcmA,Black Bear Diner
zMDYrtWiQjR5odg-6Gf6kQ,Cafelatte
kYvZZ_aKaKLQKeyms74T2Q,Lindo Michoacan
yp2nRId4v-bDtrYl5A3F-g,Nittaya's Secret Kitchen
zesysZuscMHxBl9uIQXIIw,Taqueria El Tizon Grill
zI-CqEm-qmkTY3WdhPlXgQ,Pho Rancho
HpKcIWjcq3osQ13pBF0RXw,Home Team Sports
rbWL5eZCaHLqhpLd84xwUg,El Cachi Mexican Kitchen
pgSnP1h1Hg7O4nEGfxVHZw,Mi Tierra Mexican Restaurant
L-zHt7gZITG1z8l7TZ4dUg,Sugar & Ice
39rjgt5MpEACNzyFnUmyaQ,Bella Panini
ujKxpaUmTUVpGRBFSvZfbg,Bradley Ogden
_K2_Yf_ltfhuJ2JGCOs85g,S7 Buffet
lmNpuLiA6Jtn3lL2Ec43Qw,Playas De Cancun
Mk_NJdCypVpNe6yGgymkbw,Pios Pios Ice Cream Shop
HusY0jtxYpF9lGUJ92-xDQ,Teriyaki Brother
fBdZXMF0QyhehC_fri4JZg,Charlie's Down Under
q7iF6omNtpaeBXZscLuBxQ,Vega's Cafe
XarMlmD4QuRgGdoYoKRRSQ,Joe Philly's Pizza
iBlQvqiy5Rg2h-y9TS1yOA,Casa Del Matador
IR8AucYNTmHPxkENK9q_nw,Nha Trang Restaurant
SktLID5_ywSlgVE-h3NB3Q,China A GoGo
aQFXeuyxTF9xIeytWtrYKA,A&W All American Food
3CxiP8n7DAL-YOOTCW2wNw,Jack in the Box
JXdzS5ez3semEliQyhLnqw,The Dapper Doughnut
fHo_ycJ1OQ_H7DyctJhr6A,Blue Ox Central
AVXw5x9Sg-jD5EVcvpxrQA,Burger King
L0beIaAd-rt_KymBM5sW0Q,Hungry Islander
i53HvxUdQEMllZ1XmpjjyA,Sicily's Pizza
1Df5WnLX3DqN6ymlhqznaQ,Roy's Restaurant
kblOOOjQ_36RL-r8yjse4w,Memphis Championship Barbecue
8KEB1lcjKlIVSd6uA8JB9w,Cafe Rio
84DjKzaR26vphu9fNI9nKg,Sierra Gold
kiweDovyXezj-ZMpB1tlXg,Village Pub & Poker
ye62ltisuIosDq5F_6V25w,New China Buffet
eWYpJIv1xDaNAmRTT_WjeQ,T.G.I. Friday's
_-o4WsGS2yhFneiuMTNdSA,Monti's Smokehouse BBQ
km5aBHRss5ir_B0jvEErzQ,McFadden's Restaurant and Saloon
gcouHCQrswvakJ6xSEKtFQ,Chick-fil-A
LlCbRAZfVkyqL21yKSyd4w,Village Pub & Poker
oE-vW0S6wRh0YVki7_pVBA,Island Style 2
9km51KaQujxsSgdaG9gYSw,Paina Cafe
THadh2gExZ0AxzcLJbJf9g,New Day Cafe
QmTXU7IM8RRjULQw4Kb4ig,Metro Pizza
IDex-hVAfYnVMNF8l0t_ag,Don Tortaco
_CgBou-sE-UW2j4otiKtlw,Baja Fresh Las Vegas
kE8hSuvO6eKtbRA1k541Jg,Firehouse Subs
i5EhA_T8_eWLr4_4DGDS5w,Pizza Hut
4oeqftAA2w9rcffOFaxFLA,El Rey De La PiñAta
Ec9CBmL3285XkeHaNp-bSQ,District One
EdIFp1tdPi1267hm3da6Nw,Ellis Island BBQ
U9nXdynQ2YR5xYx8tM3S7w,TGI Fridays
UZsxZdWt0quvtN0cAmiVUw,Pos Paque Takos
2BbFeotL85cIaBjSq1SWiA,Springs Cafe by Wolfgang Puck
0i9S0BejjRv0ZDwdO9XymA,Thai Seafood Ginger
l_aHtzAhgpG9h9tZdTEklg,CJ's Texas Barbeque
YCEZLECK9IToE8Mysorbhw,Daily Kitchen Modern Eatery and Rotisserie
cZf3Cosu-Aw3D3uVtY9quA,Las Gorditas
BrclERrbZrQNRyBmDGawQQ,Bruno's Pizza
VkECNTcZZ1mdN-VJltJcWA,King & I
kc5JPu8lkg64yUbrheJxng,Daddy's Delights
DDW3jj5vSNO5nlR1BX5dSg,Mainland
-nYB-fMXn2i_hcyQ6lY9oA,Great American Cookies
59YbAeuiz0isJtRNKATTKw,Bacon Bar
_bOlJfNELoVIiYGonYnPWw,Sushi House
XtE_J8DZXgjFbW1xVkqmUw,H2O Poke & Sushi Burrito
ym5FOqL6tGbgynzwKMHZuw,Crab Corner
EBnR5M6upBcHfMK4063_Sw,Mob City Pizza
CqxDQPhltNo6wkkCWww80Q,Moe's Meaty Messy Meals
BjoG1A78mIEl6on-HNSilw,The Triple Play
YO5DrWneHLevfnNnCzOcIg,Pho five Star
DNiL3RiD-mr29lx3Js3eBA,Pupuseria Cabanas
j4F5LtyQ3_dKLJbIEkwFpQ,SkinnyFATS
kJ_Rke1dt9zpbJp9lX6sXw,IHOP
CVRTly4ag_q5ua0R3iqrVw,Ku Noodle by José Andrés
T70pMoTP008qYLsIvFCXdQ,Red Velvet Café
BndplCo6DSSIUSP5wOEF0w,LULU Hawaiian BBQ 2
CWhCFNnV60zdQo4c1GBWOA,28GO The Restaurant
lvuuyYZ-CzFrg1BLdV2OPw,Libre Mexican Cantina
mNb_kxgc922N4f64tqxxbg,Gridiron Grill
UYh1N1xQhOh-a7nX92xPzQ,Brio Tuscan Grille
Jx1q_S8-T4RXuhf7P_ZuIQ,The Waterhole
M30I1NPl5JuHthxo1IXPGg,Pho Saigon 8
u3nwislXMKKwkpHAXAArbQ,KJ Kitchen
98hNRWW4AC5IzEg4BP3f5Q,Sushi Bar Sage
HD4JDFoc_htq5VYESJT8gw,Wingstop
YJJeB-cVzLuyn1FfJxpS5g,Asia Palace
I5RoKagQjGYCWgY4_fK_rQ,Russo's Pizza Kitchen
QKw32mA440qR7iNQ_vQnyQ,Pei Wei Asian Diner
b24sTA2JkHB4joNlNkBkfQ,San Gennaro Grill
CCNp1qS8n2gh51X7Wadabw,Vince Neil's Tatuado Cantina
Fq6tvdwtKV7Kk3_33oONQQ,Chapala's Mexican Restaurant
